EMPID,AGE,GRADE,Distance_From_Home_KM,TENURE_YRS,Grade_Numeric,Age_Tenure_Factor,Dist_Bin,Status,Resignation_Month_No,Resignation_Month_Name,Grade_Code,ZONE,MAIN_GROUP,Work_Location,Home_Location,Home_State,Office_State,RF_Probability,Regression_Probability,Attrition_Risk_Percentage,Risk_Level,ER manager ID
143639,35,MMII,977,8.8,7,308.0,3,Active,,,7,West,Operations Group,Mumbai,Gujarat,Delhi,Maharashtra,0,1.25,25.73,Low,6666
343753,47,ALT,50,11.8,9,554.6,2,Active,,,0,East,Retail Banking Group,Kolkata,Uttar Pradesh,Maharashtra,Maharashtra,0,0.29,33.14,Low,8888
316756,45,MMII,570,8.6,7,387.0,3,Active,,,7,East,Operations Group,Kolkata,Tamil Nadu,Gujarat,Karnataka,0,0.78,40.15,Medium,9999
854250,56,MMII,718,7.0,7,392.0,3,Active,,,7,South,Retail Banking Group,Chennai,Maharashtra,Delhi,Uttar Pradesh,0,0.67,54.69,Medium,5555
406726,24,SO,1688,2.0,1,48.0,3,Active,,,8,West,Retail Banking Group,Mumbai,Maharashtra,Maharashtra,Telangana,0,14.04,35.44,Low,6666
666690,47,AMII,1815,1.2,3,56.4,3,Active,,,2,North,Retail Banking Group,New Delhi,Gujarat,Delhi,West Bengal,7,5.46,59.15,Medium,4444
806800,31,AMI,1737,3.2,2,99.2,3,Active,,,1,North,Credit,New Delhi,Uttar Pradesh,Gujarat,Telangana,0,10.35,48.26,Medium,5555
349999,28,CM,531,7.3,8,204.4,3,Active,,,3,East,Retail Banking Group,Kolkata,Tamil Nadu,Telangana,Gujarat,0,0.57,42.52,Medium,7777
796410,48,DMII,386,3.5,5,168.0,3,Active,,,5,South,Retail Banking Group,Chennai,Delhi,Uttar Pradesh,West Bengal,0,0.94,12.02,Low,9999
147005,43,DMI,1433,6.0,4,258.0,3,Active,,,4,South,Operations Group,Chennai,West Bengal,West Bengal,Telangana,0,4.19,48.32,Medium,6666
875159,38,DMI,202,4.7,4,178.6,3,Active,,,4,North,Retail Banking Group,New Delhi,West Bengal,Gujarat,Tamil Nadu,0,1.49,13.14,Low,6666
156038,40,AMI,1131,6.8,2,272.0,3,Active,,,1,West,Retail Banking Group,Mumbai,Karnataka,Tamil Nadu,West Bengal,0,7.66,44.46,Medium,8888
910120,23,MMII,894,7.3,7,167.9,3,Active,,,7,West,Operations Group,Mumbai,Tamil Nadu,Maharashtra,West Bengal,0,1.21,28.74,Low,4444
967388,37,AMI,172,1.2,2,44.4,2,Active,,,1,North,Retail Banking Group,New Delhi,Uttar Pradesh,West Bengal,Telangana,0,2.43,22.79,Low,3333
305184,34,AMII,1623,2.4,3,81.6,3,Active,,,2,North,Retail Banking Group,New Delhi,Karnataka,Delhi,West Bengal,6,6.01,51.51,Medium,7777
994231,45,SO,938,0.3,1,180.0,3,Active,,,8,South,Retail Banking Group,Chennai,Gujarat,Tamil Nadu,Karnataka,0,5.53,58.33,Medium,5555
433630,30,DMII,536,5.0,5,150.0,3,Active,,,5,West,Retail Banking Group,Mumbai,Uttar Pradesh,Tamil Nadu,Telangana,2,1.5,27.57,Low,2222
846955,55,AMII,1714,7.1,3,390.5,3,Active,,,2,North,Retail Banking Group,New Delhi,Karnataka,Maharashtra,Maharashtra,81,7.13,73.56,High,2222
293615,32,DMI,809,6.1,4,195.2,3,Active,,,4,North,Retail Banking Group,New Delhi,Maharashtra,Gujarat,Gujarat,0,2.93,27.82,Low,6666
556726,57,SO,1788,0.1,1,393.3,3,Active,,,8,East,Retail Banking Group,Kolkata,West Bengal,Delhi,Uttar Pradesh,0,9.1,50.19,Medium,8888
367346,31,AMII,719,7.3,3,226.3,3,Active,,,2,North,Retail Banking Group,New Delhi,Uttar Pradesh,Maharashtra,Uttar Pradesh,81,4.43,73.17,High,1111
218842,30,MMI,256,2.8,6,84.0,3,Active,,,6,North,Retail Banking Group,New Delhi,Karnataka,Gujarat,Karnataka,0,0.68,34.62,Low,6666
971249,41,ALT,1079,11.8,9,483.8,3,Active,,,0,West,Retail Banking Group,Mumbai,Maharashtra,Delhi,Karnataka,0,0.73,47.82,Medium,2222
986246,41,MMI,725,1.3,6,53.3,3,Active,,,6,South,Retail Banking Group,Chennai,Tamil Nadu,Karnataka,West Bengal,0,0.77,34.52,Low,2222
702007,26,AMII,1468,6.9,3,179.4,3,Active,,,2,West,Retail Banking Group,Mumbai,Karnataka,Gujarat,Delhi,17,8.19,55.24,Medium,7777
911477,38,AMII,1542,5.9,3,224.2,3,Active,,,2,South,Operations Group,Chennai,Gujarat,Telangana,Telangana,15,6.99,61.26,Medium,1111
148797,52,MMI,168,6.7,6,348.4,2,Active,,,6,East,Wholesale Banking,Kolkata,Gujarat,Delhi,Uttar Pradesh,0,0.65,29.0,Low,6666
408803,29,ALT,1428,12.7,9,368.3,3,Active,,,0,North,Retail Banking Group,New Delhi,Gujarat,West Bengal,Maharashtra,0,1.22,36.62,Low,7777
733514,37,MMII,393,9.6,7,355.2,3,Active,,,7,East,Retail Banking Group,Kolkata,Uttar Pradesh,Gujarat,Uttar Pradesh,0,0.81,14.05,Low,8888
571686,32,AMI,1066,2.3,2,73.6,3,Active,,,1,South,Transaction Banking,Chennai,West Bengal,Telangana,Tamil Nadu,0,5.73,31.23,Low,7777
396896,42,AMI,1112,0.9,2,37.8,3,Active,,,1,West,Retail Banking Group,Mumbai,Karnataka,Gujarat,Telangana,0,4.73,32.91,Low,6666
899503,47,CM,618,7.7,8,361.9,3,Active,,,3,West,Credit,Mumbai,Tamil Nadu,Maharashtra,West Bengal,0,0.5,34.59,Low,9999
209403,56,MMII,740,9.5,7,532.0,3,Active,,,7,East,Retail Banking Group,Kolkata,Karnataka,Delhi,Uttar Pradesh,0,0.84,33.47,Low,3333
695288,54,DMII,843,0.6,5,32.4,3,Active,,,5,South,Retail Banking Group,Chennai,West Bengal,Maharashtra,Maharashtra,0,1.01,31.63,Low,6666
573362,31,AMII,13,1.2,3,37.2,1,Active,,,2,East,Retail Banking Group,Kolkata,Maharashtra,West Bengal,Delhi,0,1.56,41.22,Medium,4444
889834,46,ALT,744,14.1,9,648.6,3,Active,,,0,East,Retail Banking Group,Kolkata,West Bengal,Maharashtra,Tamil Nadu,0,0.63,55.07,Medium,2222
513019,39,AMI,890,4.6,2,179.4,3,Active,,,1,North,Retail Banking Group,New Delhi,Gujarat,West Bengal,Karnataka,0,5.46,44.6,Medium,1111
709383,51,DMI,832,7.7,4,392.7,3,Active,,,4,East,Retail Banking Group,Kolkata,Uttar Pradesh,Karnataka,Tamil Nadu,0,2.67,46.04,Medium,1111
807086,29,SO,328,1.8,1,60.900000000000006,3,Active,,,8,North,Retail Banking Group,New Delhi,Maharashtra,Tamil Nadu,Maharashtra,0,4.65,37.7,Low,3333
189659,57,MMII,777,9.4,7,535.8000000000001,3,Active,,,7,North,Retail Banking Group,New Delhi,Uttar Pradesh,Maharashtra,Telangana,0,0.85,41.48,Medium,4444
228781,29,SO,142,1.2,1,63.8,2,Active,,,8,West,Retail Banking Group,Mumbai,Gujarat,Uttar Pradesh,West Bengal,0,3.83,31.45,Low,2222
317013,28,SO,939,1.8,1,100.8,3,Active,,,8,North,Retail Banking Group,New Delhi,Delhi,Uttar Pradesh,Uttar Pradesh,0,7.58,47.33,Medium,1111
826534,51,MMI,1907,3.5,6,178.5,3,Active,,,6,North,Retail Banking Group,New Delhi,West Bengal,Tamil Nadu,Telangana,0,2.13,30.28,Low,4444
468707,43,AMI,157,5.9,2,253.7,2,Active,,,1,West,Retail Banking Group,Mumbai,West Bengal,Tamil Nadu,West Bengal,0,3.21,11.4,Low,7777
151015,46,AMII,1903,5.4,3,248.4,3,Active,,,2,East,Retail Banking Group,Kolkata,Tamil Nadu,Tamil Nadu,West Bengal,9,8.08,62.8,Medium,6666
300824,51,AMII,362,0.4,3,20.4,3,Active,,,2,South,Wholesale Banking,Chennai,Karnataka,Telangana,Telangana,0,1.52,36.88,Low,6666
553303,44,AMII,1925,3.9,3,171.6,3,Active,,,2,South,Retail Banking Group,Chennai,Maharashtra,Tamil Nadu,Telangana,19,7.54,52.19,Medium,9999
590268,32,AMII,580,5.6,3,179.2,3,Active,,,2,South,Retail Banking Group,Chennai,Uttar Pradesh,Delhi,Uttar Pradesh,12,3.44,47.56,Medium,2222
187648,49,MMII,1893,9.7,7,475.3,3,Active,,,7,East,Operations Group,Kolkata,Maharashtra,Maharashtra,Uttar Pradesh,0,2.38,54.94,Medium,4444
515575,47,DMII,699,2.8,5,131.6,3,Active,,,5,North,Retail Banking Group,New Delhi,Tamil Nadu,Gujarat,Delhi,0,1.17,49.73,Medium,5555
986950,23,AMI,159,2.1,2,48.3,2,Active,,,1,South,Retail Banking Group,Chennai,Tamil Nadu,Karnataka,Delhi,0,3.06,39.12,Low,1111
777319,27,AMI,522,7.7,2,207.9,3,Active,,,1,East,Wholesale Banking,Kolkata,Uttar Pradesh,Uttar Pradesh,West Bengal,1,5.97,43.09,Medium,8888
874455,26,ALT,1020,12.3,9,319.8,3,Active,,,0,North,Retail Banking Group,New Delhi,Karnataka,West Bengal,Delhi,0,0.88,37.71,Low,8888
296073,45,AMI,886,3.5,2,157.5,3,Active,,,1,West,Retail Banking Group,Mumbai,Uttar Pradesh,Telangana,Uttar Pradesh,0,4.65,42.48,Medium,6666
556257,55,DMII,185,2.8,5,154.0,2,Active,,,5,South,Retail Banking Group,Chennai,Uttar Pradesh,Gujarat,Karnataka,0,0.69,7.41,Low,5555
192458,39,MMI,422,6.7,6,261.3,3,Active,,,6,North,Retail Banking Group,New Delhi,Gujarat,Gujarat,West Bengal,0,0.95,10.83,Low,8888
916470,52,ALT,1041,12.0,9,624.0,3,Active,,,0,South,Retail Banking Group,Chennai,Karnataka,Gujarat,Gujarat,0,0.63,24.38,Low,3333
917457,49,DMI,1112,4.9,4,240.1,3,Active,,,4,South,Operations Group,Chennai,West Bengal,West Bengal,Maharashtra,0,2.76,44.72,Medium,3333
558020,26,DMII,1146,2.2,5,57.2,3,Active,,,5,South,Retail Banking Group,Chennai,Gujarat,Maharashtra,Uttar Pradesh,0,2.08,48.15,Medium,2222
382782,49,SO,230,1.8,1,88.2,3,Active,,,8,North,Retail Banking Group,New Delhi,Delhi,Telangana,Maharashtra,0,3.37,33.6,Low,5555
595777,48,DMI,291,1.1,4,52.8,3,Active,,,4,East,Transaction Banking,Kolkata,Karnataka,Delhi,Telangana,0,1.06,18.03,Low,3333
265597,32,MMII,1126,9.2,7,294.4,3,Active,,,7,North,Retail Banking Group,New Delhi,Tamil Nadu,Delhi,Tamil Nadu,0,1.52,23.36,Low,3333
201606,22,AMII,849,1.6,3,35.2,3,Active,,,2,South,Transaction Banking,Chennai,Gujarat,Uttar Pradesh,Uttar Pradesh,11,3.54,63.65,Medium,6666
408525,57,AMII,1800,3.9,3,222.3,3,Active,,,2,North,Retail Banking Group,New Delhi,Karnataka,Gujarat,Delhi,19,5.86,55.94,Medium,8888
383500,24,DMI,834,0.5,4,12.0,3,Active,,,4,West,Retail Banking Group,Mumbai,Maharashtra,Karnataka,West Bengal,0,2.14,47.19,Medium,2222
978866,30,MMI,589,2.4,6,72.0,3,Active,,,6,East,Retail Banking Group,Kolkata,Uttar Pradesh,Gujarat,Tamil Nadu,0,0.87,45.71,Medium,4444
547219,53,AMI,456,0.3,2,15.9,3,Active,,,1,North,Wholesale Banking,New Delhi,Delhi,Maharashtra,Tamil Nadu,0,2.33,31.41,Low,7777
524523,50,CM,376,9.6,8,480.0,3,Active,,,3,West,Retail Banking Group,Mumbai,West Bengal,Tamil Nadu,West Bengal,0,0.46,14.38,Low,1111
623194,41,MMI,1348,8.0,6,328.0,3,Active,,,6,East,Credit,Kolkata,Uttar Pradesh,West Bengal,Uttar Pradesh,0,2.18,35.68,Low,1111
699672,34,ALT,753,12.9,9,438.6,3,Active,,,0,West,Retail Banking Group,Mumbai,Maharashtra,Karnataka,Tamil Nadu,0,0.67,29.39,Low,7777
670838,55,MMII,537,5.9,7,324.5,3,Active,,,7,East,Operations Group,Kolkata,Maharashtra,Tamil Nadu,Tamil Nadu,0,0.54,51.11,Medium,7777
597118,27,MMI,667,5.2,6,140.4,3,Active,,,6,North,Retail Banking Group,New Delhi,Delhi,Telangana,Telangana,0,1.2,32.35,Low,1111
965418,36,AMII,781,7.0,3,252.0,3,Active,,,2,West,Retail Banking Group,Mumbai,West Bengal,Tamil Nadu,Uttar Pradesh,5,4.28,54.86,Medium,1111
199294,42,MMI,273,7.8,6,327.6,3,Active,,,6,South,Retail Banking Group,Chennai,Tamil Nadu,West Bengal,Tamil Nadu,0,0.88,30.46,Low,4444
534778,41,AMI,534,0.3,2,12.3,3,Active,,,1,West,Retail Banking Group,Mumbai,Gujarat,Telangana,Karnataka,1,2.88,54.76,Medium,5555
605164,31,ALT,655,12.7,9,393.7,3,Active,,,0,East,Retail Banking Group,Kolkata,West Bengal,Karnataka,Karnataka,0,0.63,49.9,Medium,5555
274159,53,DMII,1931,3.6,5,190.8,3,Active,,,5,North,Retail Banking Group,New Delhi,Karnataka,Telangana,Karnataka,0,3.14,40.37,Medium,4444
536188,30,CM,273,5.7,8,171.0,3,Active,,,3,East,Retail Banking Group,Kolkata,Maharashtra,Delhi,Delhi,0,0.4,27.89,Low,8888
951939,41,DMII,1619,1.1,5,45.1,3,Active,,,5,West,Retail Banking Group,Mumbai,Karnataka,Tamil Nadu,Maharashtra,0,2.33,41.44,Medium,7777
601181,47,DMI,405,5.5,4,258.5,3,Active,,,4,West,Retail Banking Group,Mumbai,Tamil Nadu,Karnataka,Maharashtra,0,1.67,14.83,Low,9999
969843,43,ALT,661,14.2,9,610.6,3,Active,,,0,South,Retail Banking Group,Chennai,Karnataka,West Bengal,Gujarat,0,0.61,48.67,Medium,7777
474553,27,AMII,818,6.4,3,172.8,3,Active,,,2,North,Operations Group,New Delhi,West Bengal,West Bengal,Maharashtra,83,4.7,76.18,High,1111
782899,26,MMII,749,5.7,7,148.2,3,Active,,,7,North,Retail Banking Group,New Delhi,Karnataka,Gujarat,Maharashtra,0,0.91,28.42,Low,7777
862566,40,AMII,1108,5.8,3,232.0,3,Active,,,2,West,Credit,Mumbai,Tamil Nadu,West Bengal,Uttar Pradesh,15,4.82,52.68,Medium,1111
780765,40,AMII,543,7.6,3,304.0,3,Active,,,2,North,Retail Banking Group,New Delhi,Tamil Nadu,Telangana,Uttar Pradesh,10,3.53,57.52,Medium,7777
185435,23,DMII,28,4.4,5,101.2,1,Active,,,5,South,Retail Banking Group,Chennai,Tamil Nadu,Gujarat,Delhi,2,1.03,34.92,Low,8888
290065,35,AMI,1957,0.3,2,10.5,3,Active,,,1,East,Retail Banking Group,Kolkata,West Bengal,Delhi,Karnataka,0,9.46,47.71,Medium,9999
823290,43,AMII,1720,4.4,3,189.2,3,Active,,,2,North,Operations Group,New Delhi,Tamil Nadu,Telangana,Tamil Nadu,16,6.76,63.97,Medium,3333
679922,34,DMI,664,0.1,4,3.4,3,Active,,,4,West,Retail Banking Group,Mumbai,Maharashtra,Gujarat,Uttar Pradesh,0,1.59,41.32,Medium,4444
210929,52,CM,1993,6.0,8,312.0,3,Active,,,3,East,Wholesale Banking,Kolkata,Uttar Pradesh,Gujarat,Tamil Nadu,1,1.27,42.56,Medium,4444
916430,50,MMII,1449,7.8,7,390.0,3,Active,,,7,East,Retail Banking Group,Kolkata,Tamil Nadu,Karnataka,Karnataka,0,1.41,37.45,Low,9999
882885,37,MMI,1540,6.3,6,233.1,3,Active,,,6,South,Retail Banking Group,Chennai,Karnataka,Gujarat,Gujarat,0,2.34,32.34,Low,7777
281806,51,DMI,606,2.7,4,137.7,3,Active,,,4,West,Retail Banking Group,Mumbai,Gujarat,Tamil Nadu,Gujarat,0,1.5,47.31,Medium,3333
237042,34,AMII,34,6.3,3,214.2,1,Active,,,2,North,Retail Banking Group,New Delhi,Karnataka,Maharashtra,West Bengal,0,2.28,42.05,Medium,5555
527981,32,MMI,251,4.9,6,156.8,3,Active,,,6,West,Wholesale Banking,Mumbai,Gujarat,Tamil Nadu,Uttar Pradesh,0,0.78,17.38,Low,7777
563654,29,AMI,165,0.4,2,11.6,2,Active,,,1,East,Retail Banking Group,Kolkata,Karnataka,Tamil Nadu,Maharashtra,0,2.5,17.02,Low,8888
724313,27,DMI,219,4.3,4,116.1,3,Active,,,4,West,Retail Banking Group,Mumbai,West Bengal,West Bengal,Tamil Nadu,0,1.68,35.59,Low,1111
335496,47,MMII,676,8.2,7,385.4,3,Active,,,7,North,Operations Group,New Delhi,Karnataka,Maharashtra,Delhi,0,0.8,26.15,Low,2222
437826,33,AMII,1106,4.2,3,138.6,3,Active,,,2,North,Operations Group,New Delhi,West Bengal,Uttar Pradesh,Delhi,23,4.64,56.06,Medium,7777
919914,56,DMII,71,1.9,5,106.4,2,Active,,,5,South,Retail Banking Group,Chennai,West Bengal,West Bengal,Telangana,0,0.58,14.75,Low,2222
276487,31,ALT,1148,11.6,9,359.6,3,Active,,,0,North,Retail Banking Group,New Delhi,Tamil Nadu,Telangana,Gujarat,0,0.87,48.1,Medium,7777
811145,42,MMII,418,9.0,7,378.0,3,Active,,,7,North,Retail Banking Group,New Delhi,Maharashtra,Tamil Nadu,Maharashtra,0,0.74,8.85,Low,9999
818418,37,CM,1120,5.8,8,214.6,3,Active,,,3,West,Retail Banking Group,Mumbai,Gujarat,Delhi,Tamil Nadu,0,0.73,54.67,Medium,2222
655706,50,SO,1507,0.9,1,45.0,3,Active,,,8,West,Retail Banking Group,Mumbai,Tamil Nadu,Delhi,Karnataka,0,8.46,45.57,Medium,7777
669813,26,AMI,156,1.6,2,41.6,2,Active,,,1,East,Wholesale Banking,Kolkata,Tamil Nadu,Maharashtra,Tamil Nadu,0,2.83,37.44,Low,4444
953063,33,MMII,1149,8.2,7,270.6,3,Active,,,7,South,Retail Banking Group,Chennai,Uttar Pradesh,Telangana,Uttar Pradesh,0,1.41,45.22,Medium,2222
585884,37,AMII,431,3.8,3,140.6,3,Active,,,2,West,Retail Banking Group,Mumbai,West Bengal,Maharashtra,Telangana,0,2.49,41.15,Medium,7777
252675,40,MMII,649,9.6,7,384.0,3,Active,,,7,North,Retail Banking Group,New Delhi,West Bengal,Telangana,Telangana,0,0.96,26.99,Low,5555
121096,46,SO,824,0.8,1,165.6,3,Active,,,8,East,Retail Banking Group,Kolkata,Gujarat,Uttar Pradesh,Tamil Nadu,0,5.19,47.15,Medium,1111
472773,42,AMII,1433,6.1,3,256.2,3,Active,,,2,West,Credit,Mumbai,Karnataka,Uttar Pradesh,Uttar Pradesh,6,6.21,69.62,Medium,5555
331302,30,MMII,957,5.9,7,177.0,3,Active,,,7,South,Credit,Chennai,Karnataka,Gujarat,Tamil Nadu,0,1.05,45.36,Medium,3333
166666,45,MMII,1694,8.0,7,360.0,3,Active,,,7,South,Retail Banking Group,Chennai,Tamil Nadu,Uttar Pradesh,West Bengal,0,1.87,54.35,Medium,7777
669096,41,DMII,576,3.3,5,135.3,3,Active,,,5,East,Retail Banking Group,Kolkata,Delhi,Delhi,Telangana,0,1.18,35.44,Low,6666
657824,42,DMI,1169,2.8,4,117.6,3,Active,,,4,East,Operations Group,Kolkata,Delhi,Tamil Nadu,Gujarat,0,2.68,37.61,Low,8888
386778,32,SO,1373,0.8,1,115.2,3,Active,,,8,East,Retail Banking Group,Kolkata,Karnataka,Delhi,Delhi,0,9.35,26.8,Low,5555
109372,32,DMII,136,6.3,5,201.6,2,Active,,,5,East,Retail Banking Group,Kolkata,Delhi,Uttar Pradesh,Tamil Nadu,0,1.17,26.96,Low,2222
885724,30,ALT,1730,11.0,9,330.0,3,Active,,,0,East,Retail Banking Group,Kolkata,Uttar Pradesh,West Bengal,Delhi,0,1.35,29.22,Low,9999
846473,46,AMI,1935,4.7,2,216.2,3,Active,,,1,North,Wholesale Banking,New Delhi,Karnataka,Telangana,Tamil Nadu,0,11.25,49.99,Medium,8888
932772,30,CM,269,9.2,8,276.0,3,Active,,,3,North,Retail Banking Group,New Delhi,West Bengal,Gujarat,Uttar Pradesh,0,0.52,33.79,Low,6666
630277,23,AMI,1586,0.4,2,9.2,3,Active,,,1,West,Retail Banking Group,Mumbai,Tamil Nadu,Gujarat,Telangana,0,8.27,46.23,Medium,7777
583342,51,DMII,1918,2.6,5,132.6,3,Active,,,5,South,Retail Banking Group,Chennai,Maharashtra,Tamil Nadu,Karnataka,0,2.95,31.65,Low,9999
261266,48,AMI,1634,6.0,2,288.0,3,Active,,,1,North,Operations Group,New Delhi,Tamil Nadu,Tamil Nadu,Gujarat,0,9.65,50.98,Medium,7777
559863,43,AMI,689,0.5,2,21.5,3,Active,,,1,North,Retail Banking Group,New Delhi,Karnataka,Delhi,Gujarat,0,3.24,38.89,Low,3333
869256,48,SO,1556,1.2,1,163.2,3,Active,,,8,North,Retail Banking Group,New Delhi,Uttar Pradesh,Telangana,Uttar Pradesh,0,9.19,48.02,Medium,6666
444812,26,ALT,655,11.7,9,304.2,3,Active,,,0,West,Retail Banking Group,Mumbai,Karnataka,Gujarat,Telangana,0,0.62,41.58,Medium,7777
368553,46,AMII,1451,2.2,3,101.2,3,Active,,,2,East,Credit,Kolkata,Tamil Nadu,Gujarat,Tamil Nadu,10,4.47,58.66,Medium,2222
851390,53,MMI,1980,6.1,6,323.3,3,Active,,,6,West,Retail Banking Group,Mumbai,Uttar Pradesh,Gujarat,Karnataka,0,2.7,54.7,Medium,3333
584077,54,CM,655,6.3,8,340.2,3,Active,,,3,South,Retail Banking Group,Chennai,Uttar Pradesh,Telangana,Delhi,0,0.42,41.83,Medium,4444
136494,22,MMII,1150,7.9,7,173.8,3,Active,,,7,South,Retail Banking Group,Chennai,Uttar Pradesh,West Bengal,West Bengal,0,1.59,34.02,Low,6666
248746,35,DMII,1993,2.9,5,101.5,3,Active,,,5,South,Retail Banking Group,Chennai,Gujarat,Gujarat,Telangana,1,3.9,38.02,Low,1111
203984,23,AMII,360,4.1,3,94.3,3,Active,,,2,South,Transaction Banking,Chennai,Karnataka,Uttar Pradesh,Tamil Nadu,0,2.87,64.98,Medium,9999
182965,48,CM,525,6.7,8,321.6,3,Active,,,3,North,Credit,New Delhi,Delhi,Gujarat,Delhi,0,0.42,50.39,Medium,5555
279940,54,DMII,663,0.7,5,37.8,3,Active,,,5,North,Retail Banking Group,New Delhi,Delhi,Karnataka,Maharashtra,0,0.88,32.59,Low,7777
460685,26,AMI,1227,1.1,2,28.6,3,Active,,,1,West,Operations Group,Mumbai,Karnataka,Gujarat,Gujarat,0,6.38,46.14,Medium,9999
303687,53,AMI,1649,1.9,2,100.7,3,Active,,,1,East,Retail Banking Group,Kolkata,Karnataka,Uttar Pradesh,Uttar Pradesh,0,6.81,56.95,Medium,9999
194660,27,ALT,1618,10.5,9,283.5,3,Active,,,0,South,Operations Group,Chennai,Gujarat,West Bengal,Maharashtra,0,1.23,45.25,Medium,1111
734957,32,MMII,147,6.3,7,201.6,2,Active,,,7,West,Transaction Banking,Mumbai,Delhi,Karnataka,Uttar Pradesh,0,0.54,29.18,Low,1111
744620,44,SO,626,2.0,1,237.6,3,Active,,,8,North,Retail Banking Group,New Delhi,Karnataka,Uttar Pradesh,Telangana,0,4.98,26.12,Low,3333
149854,27,MMI,1275,2.4,6,64.8,3,Active,,,6,North,Credit,New Delhi,Karnataka,Maharashtra,Telangana,0,1.58,53.93,Medium,6666
556945,54,AMI,162,5.1,2,275.4,2,Active,,,1,East,Retail Banking Group,Kolkata,Gujarat,Uttar Pradesh,Telangana,0,2.64,32.32,Low,2222
874380,27,ALT,813,12.5,9,337.5,3,Active,,,0,East,Retail Banking Group,Kolkata,Gujarat,Maharashtra,West Bengal,0,0.74,40.79,Medium,1111
387385,52,SO,1078,1.0,1,192.4,3,Active,,,8,East,Retail Banking Group,Kolkata,Tamil Nadu,Gujarat,West Bengal,0,5.98,48.73,Medium,1111
477253,54,AMII,249,4.1,3,221.4,3,Active,,,2,West,Retail Banking Group,Mumbai,Gujarat,Maharashtra,West Bengal,0,1.78,64.56,Medium,5555
998881,25,DMI,1360,7.9,4,197.5,3,Active,,,4,North,Transaction Banking,New Delhi,Maharashtra,Maharashtra,Telangana,0,5.68,30.63,Low,4444
107650,46,ALT,1651,11.5,9,529.0,3,Active,,,0,North,Wholesale Banking,New Delhi,Delhi,Tamil Nadu,West Bengal,0,1.08,28.91,Low,1111
567369,48,CM,1724,9.8,8,470.4,3,Active,,,3,East,Retail Banking Group,Kolkata,Tamil Nadu,Tamil Nadu,Delhi,0,1.44,33.81,Low,4444
932830,32,AMII,162,3.9,3,124.8,2,Active,,,2,South,Transaction Banking,Chennai,Maharashtra,Karnataka,Tamil Nadu,0,2.15,60.71,Medium,3333
660257,42,MMII,1957,8.8,7,369.6,3,Active,,,7,East,Retail Banking Group,Kolkata,Karnataka,Tamil Nadu,Delhi,0,2.55,26.81,Low,2222
477339,41,CM,868,8.2,8,336.2,3,Active,,,3,West,Retail Banking Group,Mumbai,Karnataka,Karnataka,Uttar Pradesh,0,0.69,52.53,Medium,9999
456597,41,MMI,1426,0.2,6,8.200000000000001,3,Active,,,6,East,Retail Banking Group,Kolkata,Tamil Nadu,Delhi,Tamil Nadu,0,1.26,54.15,Medium,1111
921545,54,AMI,427,7.7,2,415.8,3,Active,,,1,East,Retail Banking Group,Kolkata,Gujarat,Tamil Nadu,Delhi,0,3.99,32.18,Low,7777
731052,23,CM,396,8.7,8,200.1,3,Active,,,3,West,Retail Banking Group,Mumbai,Uttar Pradesh,Gujarat,Tamil Nadu,0,0.61,12.13,Low,4444
399234,32,ALT,1554,12.8,9,409.6,3,Active,,,0,East,Retail Banking Group,Kolkata,Uttar Pradesh,Tamil Nadu,Gujarat,0,1.32,26.25,Low,5555
247268,53,AMII,34,1.7,3,90.1,1,Active,,,2,North,Retail Banking Group,New Delhi,Karnataka,Tamil Nadu,Telangana,0,1.25,35.19,Low,5555
725529,36,CM,1742,6.7,8,241.2,3,Active,,,3,South,Credit,Chennai,Uttar Pradesh,Uttar Pradesh,Tamil Nadu,0,1.33,48.11,Medium,1111
251929,28,AMI,768,0.4,2,11.2,3,Active,,,1,East,Transaction Banking,Kolkata,West Bengal,Karnataka,Karnataka,1,4.11,28.84,Low,6666
941376,41,ALT,918,12.3,9,504.3,3,Active,,,0,West,Retail Banking Group,Mumbai,Tamil Nadu,Tamil Nadu,Telangana,0,0.67,31.74,Low,9999
406342,25,DMI,1764,7.4,4,185.0,3,Active,,,4,South,Retail Banking Group,Chennai,Maharashtra,Gujarat,West Bengal,0,7.49,48.0,Medium,2222
881956,34,AMII,173,4.8,3,163.2,2,Active,,,2,West,Operations Group,Mumbai,Tamil Nadu,Tamil Nadu,West Bengal,0,2.27,37.31,Low,7777
175235,49,AMII,1149,6.7,3,328.3,3,Active,,,2,South,Wholesale Banking,Chennai,Delhi,Karnataka,Tamil Nadu,90,4.78,71.14,High,6666
693022,44,CM,1735,5.9,8,259.6,3,Active,,,3,South,Operations Group,Chennai,Gujarat,Delhi,West Bengal,0,1.12,27.85,Low,5555
804206,40,DMI,1523,6.0,4,240.0,3,Active,,,4,East,Wholesale Banking,Kolkata,Gujarat,West Bengal,Telangana,0,4.67,31.64,Low,4444
158042,57,MMII,1377,5.7,7,324.9,3,Active,,,7,North,Retail Banking Group,New Delhi,Tamil Nadu,Uttar Pradesh,West Bengal,0,1.03,51.56,Medium,4444
666451,25,AMII,1035,0.9,3,22.5,3,Active,,,2,East,Retail Banking Group,Kolkata,Karnataka,Gujarat,Uttar Pradesh,6,3.76,62.07,Medium,6666
486257,34,CM,321,7.2,8,244.8,3,Active,,,3,West,Retail Banking Group,Mumbai,Karnataka,Uttar Pradesh,Karnataka,0,0.44,33.87,Low,4444
